Symbol,Strategy,Pair,Total_Trades,Winning_Trades,Losing_Trades,Win_Rate_%,Total_Profit_$,Gross_Profit_$,Gross_Loss_$,Profit_Factor,Avg_Profit_Per_Trade_$,Expectancy_$
GBPNZD,TB_15M_1M,GBPNZD_TB_15M_1M,3,2,1,66.66666666666666,36.86190199999935,55.88923200000041,19.02733000000106,2.9373134328356785,12.287300666666448,12.287300666666448
GBPJPY,FB_15M_1M,GBPJPY_FB_15M_1M,5,3,2,60.0,29.247523343015846,65.03044460117684,35.78292125816098,1.8173598553344885,5.849504668603169,5.849504668603169
DE30,TB_4H_5M,DE30_TB_4H_5M,1,1,0,100.0,26.564462999999837,26.564462999999837,0.0,999.99,26.564462999999837,26.564462999999837
GBPNZD,FB_4H_5M,GBPNZD_FB_4H_5M,3,2,1,66.66666666666666,26.524665999999733,40.55377200000084,14.029106000001107,2.8906882591091434,8.841555333333245,8.841555333333245
AAPL,TB_15M_1M,AAPL_TB_15M_1M,1,1,0,100.0,25.99999999999966,25.99999999999966,0.0,999.99,25.99999999999966,25.99999999999966
AUDCHF,TB_15M_1M,AUDCHF_TB_15M_1M,1,1,0,100.0,23.927964233990465,23.927964233990465,0.0,999.99,23.927964233990465,23.927964233990465
EURJPY,TB_4H_5M,EURJPY_TB_4H_5M,2,2,0,100.0,21.48269413690647,21.48269413690647,0.0,999.99,10.741347068453235,10.741347068453235
GOOGL,TB_15M_1M,GOOGL_TB_15M_1M,1,1,0,100.0,21.399999999999864,21.399999999999864,0.0,999.99,21.399999999999864,21.399999999999864
USTEC,TB_15M_1M,USTEC_TB_15M_1M,1,1,0,100.0,18.70400000000009,18.70400000000009,0.0,999.99,18.70400000000009,18.70400000000009
GBPCHF,TB_15M_1M,GBPCHF_TB_15M_1M,1,1,0,100.0,18.260814810149878,18.260814810149878,0.0,999.99,18.260814810149878,18.260814810149878
ADBE,FB_15M_1M,ADBE_FB_15M_1M,4,3,1,75.0,17.700000000000387,30.500000000000114,12.799999999999727,2.3828125000000595,4.425000000000097,4.425000000000097
AUDJPY,TB_15M_1M,AUDJPY_TB_15M_1M,6,3,3,50.0,17.017917343393442,32.74169648576773,15.72377914237429,2.0823045267490152,2.8363195572322404,2.8363195572322404
